Year	Sequence	Topic	Maturity	Phase
2000	1	Quantum Computing	0.003	1
2000	2	Audio Mining	0.106	1
2000	3	Synthetic Characters	0.151	1
2000	4	Digital Ink	0.186	1
2000	5	Biometrics	0.265	1
2000	6	Voice Portals	0.292	1
2000	7	WAP/Wireless Web	0.318	1
2000	8	PEAK	0.318	0
2000	9	ASPs	0.324	2
2000	10	Webtops	0.350	2
2000	11	Bluetooth	0.382	2
2000	12	Enterprise Portals	0.414	2
2000	13	Jini	0.515	2
2000	14	3-D Web	0.610	2
2000	15	TROUGH	0.630	0
2000	16	Micropayments	0.650	3
2000	17	Voice Over IP	0.676	3
2000	18	Speech Recognition	0.695	3
2000	19	XML	0.724	3
2000	20	Smart Cards	0.782	3
2000	21	xDSL/Cable Modems	0.928	3
2000	22	Java Language	0.981	3
2000	23	PLATEAU	1.000	0
2001	1	Personal Fuel Cells	0.050	1
2001	2	Head-Mounted Displays	0.123	1
2001	3	Semantic Web	0.200	1
2001	4	Synthetic Characters	0.257	1
2001	5	PDA Phones	0.313	1
2001	6	Web Services	0.333	1
2001	7	PEAK	0.350	0
2001	8	Enterprise IM	0.367	2
2001	9	M-Commerce	0.383	2
2001	10	Digital Signatures	0.417	2
2001	11	P2P	0.473	2
2001	12	Wireless Web/WAP	0.510	2
2001	13	B2B E-Markets	0.540	2
2001	14	ASPs	0.573	2
2001	15	Bluetooth	0.617	2
2001	16	TROUGH	0.650	0
2001	17	B2C E-Business	0.657	3
2001	18	E-Payments	0.680	3
2001	19	Voice Over IP	0.700	3
2001	20	Wireless Lans/802.11	0.753	3
2001	21	Enterprise Portals	0.817	3
2001	22	PLATEAU	1.000	0
2002	1	Personal Fuel Cells	0.097	1
2002	2	E-Tags	0.172	1
2002	3	Nano-Computing	0.203	1
2002	4	Identity Services	0.256	1
2002	5	Natural Language Search	0.286	1
2002	6	Biometrics	0.333	1
2002	7	PEAK	0.340	0
2002	8	Grid Computing	0.353	2
2002	9	Web Services	0.397	2
2002	10	PDA Phones	0.472	2
2002	11	Peer to Peer Computing	0.583	2
2002	12	WAP/Wireless Web	0.611	2
2002	13	TROUGH	0.620	0
2002	14	Location Sensing	0.625	3
2002	15	Speech Recognition on Desktops	0.639	3
2002	16	E-Payments	0.658	3
2002	17	Public Key Infrastructure	0.678	3
2002	18	Bluetooth	0.703	3
2002	19	Voice Over IP	0.722	3
2002	20	Speech Recognition in Call Centres	0.756	3
2002	21	Test to Speech	0.811	3
2002	22	Wireless Lans/802.11	0.936	3
2002	23	Virtual Private Networks	0.989	3
2002	24	PLATEAU	1.000	0
2003	1	Portal Ubiquity	0.009	1
2003	2	Portal Fabric	0.047	1
2003	3	Federated Portals (Multi-Vendor)	0.080	1
2003	4	Personal Work Portals	0.112	1
2003	5	Business Process Fusion	0.168	1
2003	6	Open Source Portals	0.177	1
2003	7	XML-Based Multichannel Output	0.222	1
2003	8	SES	0.231	1
2003	9	Advanced Web Services in Portals	0.241	1
2003	10	JSR170	0.254	1
2003	11	Application Platform Suite	0.263	1
2003	12	WSRP/JSR168 App Platform Suite	0.274	1
2003	13	Virtual Content Repositories	0.291	1
2003	14	PEAK	0.320	0
2003	15	Process Portals	0.338	2
2003	16	Basic Web Services Support in Portals	0.371	2
2003	17	Federated Portals within Vendor Familites	0.392	2
2003	18	Contextual Personalisation	0.403	2
2003	19	Avanced Integration in Portals	0.476	2
2003	20	Integrated Content Management	0.504	2
2003	21	Integrated Collaboration	0.558	2
2003	22	Portlets	0.619	2
2003	23	TROUGH	0.650	0
2003	24	Mobile Access to Portals	0.672	3
2003	25	Role Based Personalisation	0.901	3
