Number	Identity File	URL	Country Code	Country	Region	Source	Main URL	Area	Comment	FORCE
0	info_0.xml	http://revistaucmaule.ucm.cl/oai	cl	Chille		URL CC Extension	revistaucmaule.ucm.cl			1
1	info_1.xml	http://www.arsboni.ubo.cl/index.php/arsbonietaequi/oai	cl	Chille		URL CC Extension	www.arsboni.ubo.cl			1
10	info_10.xml	http://aprendeenlinea.udea.edu.co/revistas/index.php/estudiospoliticos/oai	co	Colombia		URL CC Extension	aprendeenlinea.udea.edu.co			1
100	info_100.xml	http://revistas.ustabuca.edu.co/index.php/REVISTAM/oai	co	Colombia		URL CC Extension	revistas.ustabuca.edu.co			1
1000	info_1000.xml	https://jurnal.unimed.ac.id/2012/index.php/jpkm/oai	id	Indonesia		URL CC Extension	jurnal.unimed.ac.id			1
1001	info_1001.xml	http://jurnal.unissula.ac.id/index.php/PH/oai	id	Indonesia		URL CC Extension	jurnal.unissula.ac.id			1
1002	info_1002.xml	http://jurnal.unissula.ac.id/index.php/ua/oai	id	Indonesia		URL CC Extension	jurnal.unissula.ac.id			1
1003	info_1003.xml	http://jurnal.univ45sby.ac.id/index.php/index/oai	id	Indonesia		URL CC Extension	jurnal.univ45sby.ac.id			1
1004	info_1004.xml	http://jurnal.unma.ac.id/index.php/infotech/oai	id	Indonesia		URL CC Extension	jurnal.unma.ac.id			1
1005	info_1005.xml	http://jurnal.unma.ac.id/index.php/JE/oai	id	Indonesia		URL CC Extension	jurnal.unma.ac.id			1
1006	info_1006.xml	http://jurnal.unmer.ac.id/index.php/jtmi/oai	id	Indonesia		URL CC Extension	jurnal.unmer.ac.id			1
1007	info_1007.xml	http://jurnal.unmuhjember.ac.id/index.php/AGRIBEST/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1008	info_1008.xml	http://jurnal.unmuhjember.ac.id/index.php/BB/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1009	info_1009.xml	http://jurnal.unmuhjember.ac.id/index.php/BIOMA/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
101	info_101.xml	http://revistas.ustabuca.edu.co/index.php/TEMAS/oai	co	Colombia		URL CC Extension	revistas.ustabuca.edu.co			1
1010	info_1010.xml	http://jurnal.unmuhjember.ac.id/index.php/ELLITE/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1011	info_1011.xml	http://jurnal.unmuhjember.ac.id/index.php/INSIGHT/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1012	info_1012.xml	http://jurnal.unmuhjember.ac.id/index.php/tech-d/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1013	info_1013.xml	http://jurnal.unmuhjember.ac.id/index.php/TIJHS/oai	id	Indonesia		URL CC Extension	jurnal.unmuhjember.ac.id			1
1014	info_1014.xml	http://jurnal.unpad.ac.id/teknotan/oai	id	Indonesia		URL CC Extension	jurnal.unpad.ac.id			1
1015	info_1015.xml	http://jurnal.unpad.ac.id/pjd/oai	id	Indonesia		URL CC Extension	jurnal.unpad.ac.id			1
1016	info_1016.xml	http://jurnal.unpad.ac.id/pjih/oai	id	Indonesia		URL CC Extension	jurnal.unpad.ac.id			1
1017	info_1017.xml	https://jurnal.uns.ac.id/jpk/oai	id	Indonesia		URL CC Extension	jurnal.uns.ac.id			1
1018	info_1018.xml	http://jurnal.unsyiah.ac.id/JDA/oai	id	Indonesia		URL CC Extension	jurnal.unsyiah.ac.id			1
1019	info_1019.xml	http://jurnal.unsyiah.ac.id/SKLJ/oai	id	Indonesia		URL CC Extension	jurnal.unsyiah.ac.id			1
102	info_102.xml	http://revistas.ustabuca.edu.co/index.php/USTASALUD_ODONTOLOGIA/oai	co	Colombia		URL CC Extension	revistas.ustabuca.edu.co			1
1021	info_1021.xml	http://jurnal.untan.ac.id/index.php/lb/oai	id	Indonesia		URL CC Extension	jurnal.untan.ac.id			1
1022	info_1022.xml	http://jurnal.untirta.ac.id/index.php/EduChemia/oai	id	Indonesia		URL CC Extension	jurnal.untirta.ac.id			1
1023	info_1023.xml	http://jurnal.untirta.ac.id/index.php/vanos/oai	id	Indonesia		URL CC Extension	jurnal.untirta.ac.id			1
1024	info_1024.xml	http://jurnal.untirta.ac.id/index.php/VOLT/oai	id	Indonesia		URL CC Extension	jurnal.untirta.ac.id			1
1025	info_1025.xml	http://jurnal.upnyk.ac.id/index.php/eksergi/oai	id	Indonesia		URL CC Extension	jurnal.upnyk.ac.id			1
1026	info_1026.xml	http://jurnal.ustjogja.ac.id/index.php/trihayu/oai	id	Indonesia		URL CC Extension	jurnal.ustjogja.ac.id			1
1027	info_1027.xml	http://jurnal.ut.ac.id/index.php/JMST/oai	id	Indonesia		URL CC Extension	jurnal.ut.ac.id			1
1028	info_1028.xml	http://jurnal.ut.ac.id/index.php/JOM/oai	id	Indonesia		URL CC Extension	jurnal.ut.ac.id			1
1029	info_1029.xml	http://jurnal.ut.ac.id/index.php/JP/oai	id	Indonesia		URL CC Extension	jurnal.ut.ac.id			1
103	info_103.xml	http://revistas.ustatunja.edu.co/index.php/ivestigium/oai	co	Colombia		URL CC Extension	revistas.ustatunja.edu.co			1
1030	info_1030.xml	http://jurnal.ut.ac.id/index.php/JPTJJ/oai	id	Indonesia		URL CC Extension	jurnal.ut.ac.id			1
1032	info_1032.xml	http://jurnalantropologi.fisip.unand.ac.id/index.php/jantro/oai	id	Indonesia		URL CC Extension	jurnalantropologi.fisip.unand.ac.id			1
1033	info_1033.xml	http://jurnalbhumi.stpn.ac.id/index.php/JB/oai	id	Indonesia		URL CC Extension	jurnalbhumi.stpn.ac.id			1
1036	info_1036.xml	http://jurnalfe.ustjogja.ac.id/index.php/akuntansi/oai	id	Indonesia		URL CC Extension	jurnalfe.ustjogja.ac.id			1
1037	info_1037.xml	http://jurnalfpk.uinsby.ac.id/index.php/jhsp/oai	id	Indonesia		URL CC Extension	jurnalfpk.uinsby.ac.id			1
1038	info_1038.xml	http://jurnaliainpontianak.or.id/index.php/alalbab/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
1039	info_1039.xml	http://jurnaliainpontianak.or.id/index.php/alhikmah/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
104	info_104.xml	http://revistas.ustatunja.edu.co/index.php/ingeniomagno/oai	co	Colombia		URL CC Extension	revistas.ustatunja.edu.co			1
1040	info_1040.xml	http://jurnaliainpontianak.or.id/index.php/Almaslahah/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
1041	info_1041.xml	http://jurnaliainpontianak.or.id/index.php/index/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
1042	info_1042.xml	http://jurnaliainpontianak.or.id/index.php/khatulistiwa/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
1043	info_1043.xml	http://jurnaliainpontianak.or.id/index.php/raheema/oai	id	Indonesia		URL CC Extension	jurnaliainpontianak.or.id			1
1044	info_1044.xml	http://jurnalius.ac.id/ojs/index.php/index/oai	id	Indonesia		URL CC Extension	jurnalius.ac.id			1
